Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
47	-124.52074	188.86179	-41.258034	-3684.6492	1447.1077	89.0694	1645.7665	1276.1888	40.897697	1000.0	187999	61.646835	135.18327	1819.6083	-377.53427	-66.25536	281.16226	2082.1726536750793
48	-149.41357	408.8505	-41.187843	-7497.1904	1452.019	74.34375	1614.3141	1297.29	48.564953	1000.0	191999	57.91507	138.04654	1944.8455	-354.77942	-62.26852	272.09262	2132.6602659225464
49	-113.76542	78.71847	50.824856	-1388.4462	1453.9496	72.41936	1615.5099	1293.8004	40.57398	1000.0	195999	56.645016	139.67084	2045.997	-368.36053	-61.148384	284.51685	2183.5592255592346
50	-109.598274	78.276566	922.76764	-732.40356	1451.2809	83.79658	1582.4686	1284.4291	47.836796	1000.0	199999	56.59126	140.45688	2066.521	-309.02356	-60.942398	271.94504	2234.5209860801697
51	-119.83488	288.9831	1821.1964	-3593.347	1433.919	70.02063	1611.8398	1286.1127	43.777473	1000.0	203999	57.48287	144.63405	2089.1711	-311.02383	-61.95951	290.2933	2285.4893746376038
52	-123.99607	323.42685	2374.9204	-5461.2524	1434.5353	68.11946	1583.4484	1281.6027	47.39645	1000.0	207999	56.2197	142.32466	2033.7504	-261.65466	-60.542324	271.08255	2336.2717776298523
53	-116.296196	170.85938	-39.611977	-3342.4922	1440.8174	82.980705	1625.3838	1276.6626	42.013157	1000.0	211999	55.404106	140.82523	2072.4387	-239.66206	-59.796192	277.7872	2387.5053701400757
54	-108.20781	151.85913	1325.7333	-2363.1528	1412.7247	65.22022	1576.39	1275.1318	47.041058	1000.0	215999	55.253216	142.04898	2126.4502	-195.35046	-59.57361	281.7203	2438.393619298935
55	-119.92397	187.59988	-16.883072	-3802.7104	1454.9316	63.60809	1627.5012	1302.0573	37.947742	1000.0	219999	54.848347	143.00171	2155.926	-224.78476	-59.125587	260.5798	2489.8272988796234
56	-97.90613	371.89658	1563.0292	-7328.6313	1414.9407	71.3987	1613.7413	1275.0112	39.49136	1000.0	223999	53.918476	143.64336	2110.515	-184.70657	-58.104492	261.7872	2541.1850004196167
57	-112.32029	276.44095	-29.31961	-4298.839	1458.1244	75.92618	1607.8263	1294.1691	39.7207	1000.0	227999	51.55204	142.4876	1983.24	-173.81871	-55.519783	231.59293	2591.9380371570587
58	-114.98328	316.82068	1763.5997	-5543.2114	1428.8392	78.83696	1536.5813	1284.1776	45.644886	1000.0	231999	47.034306	143.49446	1944.4788	-206.14856	-50.799736	248.86617	2643.2965087890625
59	-92.34093	48.518024	-27.820633	-468.39337	1419.9495	91.372116	1595.5038	1275.013	39.550617	1000.0	235999	54.644684	147.40808	2035.7943	-239.53162	-60.24988	298.58118	2694.5418705940247
60	-101.080894	282.87994	-31.87483	-4013.6997	1441.3411	75.2525	1594.3219	1281.1664	42.924732	1000.0	239999	93.78712	164.8489	1946.0402	-274.89886	-101.868904	421.7327	2745.6224722862244
61	-112.16697	187.81226	-43.58455	-3501.7446	1424.3177	67.20995	1518.1406	1281.7922	47.097057	1000.0	243999	108.57526	171.44455	1909.2242	-201.73897	-115.30627	436.80368	2796.4673602581024
62	-114.66489	84.96083	1086.9468	-419.7221	1421.5072	75.05864	1619.0707	1279.2305	49.859814	1000.0	247999	89.945	160.57646	1967.6995	-204.83621	-95.144554	401.5833	2847.7207973003387
63	-143.02664	276.17746	739.6131	-4817.3223	1412.0773	80.408615	1615.5337	1275.0	51.928802	1000.0	251999	67.14005	148.71198	2063.27	-175.94733	-71.44945	329.50018	2899.3275907039642
64	-125.47037	265.7704	-35.453476	-3869.7788	1429.0248	65.482216	1608.1704	1277.4287	41.937008	1000.0	255999	51.67202	144.71712	2112.1626	-175.78963	-55.288746	256.51477	2950.2632677555084
65	-131.01231	270.78085	-37.94026	-5555.3066	1422.3698	73.944016	1630.9073	1182.3179	37.711582	1000.0	259999	41.24933	140.98322	2104.7278	-178.30708	-44.665825	246.46101	3000.9276206493378
66	-90.8588	137.85469	-25.112104	-2844.7236	1430.9276	70.2716	1623.9398	1275.0333	36.657536	1000.0	263999	38.043797	131.72272	1965.6527	-210.98386	-41.550102	202.45766	3051.4174902439117
67	-116.64942	259.99408	13.210995	-3887.854	1413.0529	83.75708	1617.4315	1277.4756	37.436916	1000.0	267999	36.547127	129.82285	1956.246	-211.26627	-40.19211	218.88982	3102.175412416458
68	-83.15365	124.94844	2336.736	-233.10892	1416.3103	66.05465	1575.5826	1275.9	37.751186	1000.0	271999	39.34694	131.81796	1886.221	-173.4174	-43.11983	211.81622	3152.8713068962097
69	-121.52929	317.00684	-31.947054	-3448.1936	1428.2063	61.124676	1575.0138	1299.9519	50.106583	1000.0	275999	40.80432	132.45703	1920.1118	-178.44284	-44.663097	205.08804	3203.7283346652985
70	-105.9123	108.28518	-37.243095	-2071.2317	1425.7511	69.22855	1607.2391	1275.0896	43.5625	1000.0	279999	42.44216	136.37001	2028.5157	-186.33717	-46.43675	210.203	3254.640768289566
71	-118.89949	233.41681	91.23981	-4417.942	1430.719	65.582016	1584.9861	1275.8635	45.05618	1000.0	283999	40.345596	140.05858	2038.2151	-137.51826	-43.769352	192.95071	3305.656105518341
72	-102.89595	289.64648	28.394938	-5396.113	1416.7048	82.56037	1579.74	1275.0005	46.35756	1000.0	287999	34.091118	131.64708	2020.8798	-153.42383	-37.314716	184.68712	3356.3217108249664
73	-113.93262	310.70123	-30.176922	-4839.607	1406.1761	59.370663	1575.0393	1275.0	41.43669	1000.0	291999	30.8083	126.17629	1852.8568	-159.855	-34.028683	176.35648	3407.026662826538
74	-108.036766	202.291	-29.500965	-3659.8518	1409.1842	62.530403	1575.074	1279.9847	49.3839	1000.0	295999	28.88865	123.43019	1909.2773	-230.67445	-32.158054	158.14412	3458.183536529541
75	-108.52189	215.23973	-30.425098	-3995.3984	1442.1992	80.43691	1606.1787	1294.4971	47.02941	1000.0	299999	25.57507	121.88732	1915.4545	-148.32782	-28.551136	158.76782	3509.657930612564
76	-95.1596	276.3501	-33.924416	-5225.2397	1420.529	58.634693	1529.6208	1276.5698	45.94556	1000.0	303999	21.34717	123.79948	1939.7688	-238.45547	-24.103188	146.87715	3560.5955426692963
77	-124.59796	373.06326	-18.956745	-4248.634	1410.5686	68.54865	1575.3876	1275.1893	48.240963	1000.0	307999	21.458105	122.53298	1936.183	-194.48643	-24.542353	160.25623	3611.281728744507
78	-109.715065	263.734	-16.515196	-4764.662	1412.7173	64.85291	1575.5352	1284.2268	47.93994	1000.0	311999	27.662798	124.11967	2019.9067	-259.6333	-31.207008	173.91626	3662.000868320465
79	-109.04244	199.99817	758.546	-3467.5288	1430.4548	77.0518	1621.8275	1275.629	45.90831	1000.0	315999	29.806835	122.54564	2045.8567	-322.88675	-33.043266	161.03658	3712.977554798126
80	-111.58617	361.9035	1882.9396	-6100.8867	1437.7521	79.176895	1601.7577	1275.2104	46.988235	1000.0	319999	25.066563	122.64787	2045.754	-428.34348	-27.953024	162.09181	3764.050451517105
81	-115.252975	375.67877	-29.888083	-7049.245	1400.3177	76.95339	1607.08	1275.0007	45.684814	1000.0	323999	19.712852	122.402756	2046.2579	-460.7095	-22.336647	144.3261	3815.2398331165314
82	-90.86638	52.861385	604.8082	-284.23978	1437.9095	73.06145	1607.1405	1320.5485	42.858665	1000.0	327999	15.978698	124.09692	2069.3418	-449.25974	-18.416758	143.17715	3866.1047558784485
83	-106.44262	288.30035	-29.531784	-4359.477	1417.5444	78.18324	1615.5496	1276.1771	41.244217	1000.0	331999	13.1653185	124.40728	2066.8354	-435.94626	-15.494278	157.95654	3917.151083469391
84	-82.87106	38.70361	-25.83759	-304.48642	1417.1711	73.60476	1582.8081	1275.0016	45.713467	1000.0	335999	13.096433	122.623505	1985.2434	-492.33066	-15.721991	150.64275	3967.7028913497925
85	-101.001114	267.73135	1220.3181	-4658.2476	1426.6696	67.95746	1575.0604	1275.4425	49.798138	1000.0	339999	14.117312	122.12361	1953.6074	-488.18256	-16.548685	131.7633	4018.8883368968964
86	-108.72019	297.8856	-27.684378	-4804.7656	1431.0198	78.85907	1600.7438	1276.5441	46.20809	1000.0	343999	14.064223	122.84823	1911.743	-376.81604	-16.5449	135.71497	4069.775158405304
87	-111.7654	270.7221	-38.839367	-4300.0083	1421.5813	69.70755	1580.464	1276.1561	41.33592	1000.0	347999	15.23987	119.74378	1902.1621	-410.91092	-17.768475	145.40837	4120.720994234085
88	-106.41136	284.91763	-35.320103	-4699.3936	1451.0664	72.74977	1604.244	1291.7018	39.60494	1000.0	351999	15.40894	122.05821	1952.452	-420.47653	-17.984188	127.503815	4171.347838640213
89	-105.35104	272.8664	761.09375	-4060.7168	1419.4441	62.21997	1575.0527	1275.3922	41.318653	1000.0	355999	19.336555	124.07079	1989.2021	-355.7984	-22.489265	152.75575	4222.173664569855
90	-78.49101	158.63597	2255.8413	-304.3021	1417.5625	73.74857	1593.5723	1275.0493	45.433426	1000.0	359999	21.008522	121.81103	1958.7834	-368.86765	-23.953142	158.708	4273.15940785408
91	-97.27089	189.44012	-36.569927	-3748.5625	1408.0593	77.00084	1579.3038	1275.1067	37.92874	1000.0	363999	19.857357	116.684235	1827.7704	-380.49738	-22.612963	142.89278	4324.007422924042
92	-117.40141	377.13477	-27.279827	-5932.552	1409.2263	69.01342	1588.272	1275.656	42.298153	1000.0	367999	17.981642	116.91151	1768.6193	-385.15662	-20.496206	145.60353	4374.306981563568
