Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
61	-29.103195	27.472712	25.019775	-175.95541	-28.635199	22.31317	8.869443	-89.871925	53.2107	50.775	243999	7.5652037	12.192942	48.71656	-633.48724	-9.106257	21.266375	1286.2070050239563
62	-27.777157	46.04819	21.962261	-666.8235	-19.893099	21.313913	9.944832	-76.93566	49.335384	50.525	247999	7.357066	12.132269	47.384697	-981.9335	-8.864601	20.51639	1307.6484467983246
63	-29.079784	29.804615	27.29063	-333.68585	-34.185516	28.311657	21.618164	-98.565025	50.231976	53.75	251999	7.34012	11.834302	46.39902	-497.89554	-8.863966	23.548132	1328.7858831882477
64	-28.066029	51.207794	22.293228	-661.54193	-31.982845	60.15708	24.080217	-378.87552	50.98722	56.525	255999	7.60152	12.040249	48.253937	-829.27155	-9.109859	21.885824	1350.1149082183838
65	-45.85484	159.33208	20.86846	-2637.3655	-40.486122	25.575861	6.5993495	-120.380005	52.345276	51.15	259999	7.597576	11.944288	46.680733	-647.5905	-9.109842	23.008375	1371.5104520320892
66	-28.8035	45.071712	22.47615	-687.95844	-42.392902	61.990936	3.8497498	-406.1875	50.454258	53.65	263999	7.456387	11.930837	44.733307	-565.50104	-8.912142	22.886517	1392.9826035499573
67	-27.8056	22.840408	19.204313	-205.13634	-8.878545	84.662964	503.85745	-70.68454	48.753048	58.25	267999	7.0263586	11.91372	44.9782	-808.39905	-8.473293	21.667284	1414.0854606628418
68	-24.972103	20.83617	31.298403	-117.12436	-31.953588	27.782255	24.787912	-116.07642	47.82934	45.275	271999	7.3993545	11.983204	43.68456	-567.76776	-8.866936	22.33496	1435.2319586277008
69	-25.97035	21.809921	27.670256	-111.55967	-26.681677	16.864836	1.2655078	-67.060326	47.892216	43.975	275999	8.149751	12.523421	45.42012	-788.5099	-9.656211	20.636332	1456.8634338378906
70	-28.645836	30.497566	308.2117	-119.98465	-26.85683	23.270016	9.045318	-75.87956	52.595394	54.6	279999	8.295016	12.955268	49.520832	-1030.9597	-9.796758	23.92322	1477.8669242858887
